State,City,Street,Zipcode,Bedroom,Bathroom,Area,PPSq,LotArea,MarketEstimate,RentEstimate,Latitude,Longitude,ListedPrice
AL,Saraland,Scott Dr,36571.0,4.0,2.0,1614.0,148.636926889715,0.3805,240600.0,1599.0,30.819534,-88.09596,239900.0
AL,Robertsdale,Cowpen Creek Rd,36567.0,3.0,2.0,1800.0,144.38888888888889,3.2,,,30.590004,-87.580376,259900.0
AL,Gulf Shores,Spinnaker Dr #201,36542.0,2.0,2.0,1250.0,274.0,,,,30.284956,-87.74792,342500.0
AL,Chelsea,Mallet Way,35043.0,3.0,3.0,2224.0,150.6294964028777,0.26,336200.0,1932.0,33.357986,-86.6087,335000.0
AL,Huntsville,Turtlebrook Ct,35811.0,3.0,2.0,1225.0,204.08163265306123,,222700.0,1679.0,34.775517,-86.4407,250000.0
AL,Montgomery,Brampton Ln,36117.0,3.0,2.0,1564.0,96.54731457800511,0.2,150500.0,1385.0,32.372746,-86.165115,151000.0
AL,Boaz,Greenwood Ave,35957.0,3.0,2.0,1717.0,139.1962725684333,0.38,238400.0,2125.0,34.210014,-86.13669,239000.0
AL,Albertville,Lexington Ave,35950.0,3.0,2.0,1674.0,149.2831541218638,0.3443526170798898,248000.0,1597.0,34.2754,-86.21792,249900.0
AL,Mobile,Emerald Dr W,36619.0,3.0,3.0,2190.0,134.70319634703196,0.3443,294000.0,1900.0,30.595074,-88.20307,295000.0
AL,Madison,Highpointb Plan Grayson Lndg,35756.0,4.0,3.0,3030.0,173.23432343234325,0.3399999999999999,,,34.755985,-86.86592,524900.0
AL,Huntsville,Chancel Dr SE #5046,35802.0,2.0,3.0,2099.0,94.80705097665556,,,,34.691204,-86.565834,199000.0
AL,Mobile,Stanton Rd,36607.0,3.0,2.0,1194.0,125.6281407035176,0.1971,148300.0,1200.0,30.693125,-88.087814,150000.0
AL,Fort Mitchell,Old Glory Way,36856.0,4.0,2.0,2094.0,136.1031518624642,0.34,,,32.27287,-84.980064,285000.0
AL,Myrtlewood,Cedar Ave,36763.0,3.0,1.0,800.0,181.25,0.53,,,32.513927,-87.83505,145000.0
AL,Brewton,Kerlin Ave,36426.0,3.0,3.0,2451.0,20.57894736842105,0.2583,,,31.12658,-87.05359,50439.0
AL,Montgomery,Crestview Ave,36109.0,3.0,2.0,2196.0,76.95810564663023,0.61,124700.0,1250.0,32.39595,-86.269714,169000.0
AL,Semmes,Park Ave,36575.0,3.0,1.0,1100.0,145.45454545454547,1.0,158200.0,1099.0,30.774414,-88.257675,160000.0
AL,Irvington,Moores Ln,36544.0,5.0,3.0,2285.0,61.22538293216631,1.1772,,2100.0,30.455751,-88.242485,139900.0
AL,Mulga,Morningside Dr,35118.0,3.0,2.0,1410.0,56.66666666666666,0.34,78300.0,1369.0,33.524075,-87.00953,79900.0
AL,Red Level,County Road 21 N,36474.0,3.0,2.0,1783.0,98.1491867638811,1.0,,,31.39427,-86.60098,175000.0
AL,Grand Bay,Border Dr E,36541.0,3.0,2.0,2252.0,65.71936056838366,0.4501,,1640.0,30.481138,-88.352,148000.0
AL,Mobile,Driver St,36617.0,6.0,4.0,3036.0,54.01844532279315,0.141,154100.0,2500.0,30.702614,-88.08904,164000.0
AL,Birmingham,Wenonah Rd SW,35211.0,3.0,3.0,2760.0,72.10144927536231,0.35,,,33.448425,-86.87966,199000.0
